Date,Open,High,Low,Close,Volume,Adj Close
5/21/2012,23.95,24.4,21.85,22.5,192500,21
5/28/2012,23,23.65,21.5,22.05,224400,20.99
6/4/2012,22.8,23.85,22.1,23.8,164600,22.66
6/11/2012,24.2,24.45,23.75,23.9,98600,22.75
6/18/2012,23.9,24.1,22.8,22.9,190900,21.8
6/25/2012,22.75,23.35,22.75,23.15,189500,22.04
7/2/2012,23.2,23.4,22.95,23.3,261200,22.18
7/9/2012,23.7,23.8,23.2,23.5,197800,22.37
7/16/2012,24,24.45,23.5,24,216300,22.85
7/23/2012,23.5,25.1,23.2,25.1,188600,23.89
7/30/2012,25.2,25.4,24.2,25.1,191200,23.89
8/6/2012,25,25.9,24.4,25.8,167900,24.56
8/13/2012,26,26.4,25.5,25.9,123900,24.66
8/20/2012,25.9,26.7,25.4,25.5,118200,24.27
8/27/2012,25.4,26.2,24.7,25.4,275100,24.18
9/3/2012,24.75,26,24.6,25.9,264600,24.66
9/10/2012,26.3,27.2,25.9,26.9,251300,25.61
9/17/2012,26.7,27.2,26.2,26.6,258400,25.32
9/24/2012,25.8,26.7,25.5,26.7,230900,25.42
10/1/2012,26.5,27.2,26.1,27.2,172000,25.89
10/8/2012,26.9,27.5,26.5,27,92100,25.7
10/15/2012,26.2,27,26,27,163000,25.7
10/22/2012,26.9,27.1,26.5,27.1,58500,25.8
10/29/2012,27.1,27.4,26,26,229000,24.75
11/5/2012,26.5,26.7,25.3,25.5,387500,24.27
11/12/2012,25.4,26.3,25.1,26,177500,24.75
11/19/2012,25.4,26.4,25,25.6,255700,24.37
11/26/2012,25.5,26,25.3,26,272600,24.75
12/3/2012,25.9,25.9,25.3,25.5,268200,24.27
12/10/2012,26.1,26.6,25.4,25.8,322100,24.56
12/17/2012,26,26.2,25.3,25.8,269100,24.56
12/24/2012,25.7,25.9,25.5,25.9,86700,24.66
12/31/2012,25.7,26.9,25.6,26.9,132100,25.61
1/7/2013,26.8,27,26,26.3,217300,25.04
1/14/2013,26.6,27.2,26.3,26.9,202000,25.61
1/21/2013,27.1,27.3,26.5,26.8,250000,25.51
1/28/2013,26.5,26.9,25.7,25.8,358900,24.56
2/4/2013,26,26.3,25.7,26,219700,24.75
2/11/2013,26.2,26.3,25.3,25.3,250600,24.08
2/18/2013,25.2,26.4,25.1,26.2,571100,24.94
2/25/2013,26.3,27.1,25.8,27.1,302000,25.8
3/4/2013,27,27.3,26.9,27.2,256600,25.89
3/11/2013,27.2,27.4,27,27.4,422200,26.08
3/18/2013,27.6,28.1,27.2,27.3,265700,25.99
3/25/2013,27.8,29.7,27.3,29.5,183800,28.08
4/1/2013,30.9,31.5,29.3,29.4,267900,27.99
4/8/2013,28.9,30.4,28.4,29.7,582000,28.27
4/15/2013,29.6,31.2,29.3,31.1,273400,29.61
4/22/2013,32,32.4,30.3,31.5,221500,29.99
4/29/2013,30.6,31.8,29.8,31,215300,29.51
5/6/2013,30.7,31.9,28,28.5,254800,27.13
5/13/2013,27.5,28.7,27.3,28.3,842900,26.94
5/20/2013,28.5,30.7,27.8,28,1383100,26.65
5/27/2013,27.3,28.6,24.9,26.9,952400,26.05
6/3/2013,23.8,26.3,23,24.3,661800,23.53
6/10/2013,23,25.5,22,25.5,692300,24.69
6/17/2013,25.3,25.7,22.6,23.4,461200,22.66
6/24/2013,23.7,28,22.65,28,541200,27.11
7/1/2013,27.8,28.3,25,25.4,303800,24.59
7/8/2013,24.95,26.3,24.3,25.8,276400,24.98
7/15/2013,26,28,25.2,27.7,229100,26.82
